#,Номер законопроекта,Категория,Тема,Название на сайте ГД,Название,Дата принятия,Время рассмотрения ,Субъект права законодательной инициативы,Форма законопроекта,Ответственный комитет,Комитеты-соисполнители,Отрасль законодательства,Тематический блок законопроектов,Профильный комитет,Предмет ведения,Описание,Польза гражданам,Польза государству
130,682010-7,Экономическая политика,Поддержка предпринимательства,Комплексное совершенствование закупок,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 01.05.2019 № 71-ФЗ «О внесении изменений в Федеральный закон «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд»",18.04.2019,13,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",нет,090.000.000 Хозяйственная деятельность,Экономическая политика,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",нет,"Закон предусматривает комплексное совершенствование закупок, в том числе сокращение временных затрат на проведение закупочных процедур.",увидеть результат реализации национальных проектов быстрее,устранить процедурные препятствия и ускорить достижение поставленных целей государственного развития
131,669567-7,Экономическая политика,Поддержка предпринимательства,Крабовые аукционы,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 01.05.2019 № 86-ФЗ «О внесении изменений в Федеральный закон «О рыболовстве и сохранении водных биологических ресурсов» в части совершенствования порядка распределения квот добычи (вылова) водных биологических ресурсов»,10.04.2019,22,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям","Комитет Государственной Думы по бюджету и налогам, Комитет Государственной Думы по аграрным вопросам",110.000.000 Природные ресурсы и охрана окружающей природной среды,Экономическая политика,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Ведение РФ,"Законом вводится норма, в соответствии с которой 50% квот на вылов краба будет выставлено на аукционы. За победителями аукционов квота будет закреплена на 15 лет.",получать качественный продукт,государству и бизнесу – привлечь дополнительные инвестиции в рыбопромышленную отрасль; повысить открытость на рынке крабов; сохранить текущий уровень вылова крабов
132,614282-7,Экономическая политика,Поддержка предпринимательства,Закупки в сфере культуры,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 01.05.2019 № 70-ФЗ «О внесении изменений в статьи 1 и 8 Федерального закона «О закупках товаров, работ, услуг отдельными видами юридических лиц» и Федеральный закон «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд»",10.04.2019,107,"Депутаты Государственной Думы О.М.Казакова, Е.Г.Драпеко, А.М.Шолохов, Е.А.Ямпольская, Н.Н.Пилюс, С.Б.Савченко, О.М.Германова, В.Ю.Максимов",Федеральный закон,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",Комитет Государственной Думы по культуре,090.000.000 Хозяйственная деятельность,Экономическая политика,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",нет,Законом уточняются положения о закупках применительно к сфере культуры.,ходить на культурные мероприятия без угрозы их срыва; работникам культуры – упростить план формирования закупок; удешевить оформление документационного процесса,оптимизировать процессы управления сферой культуры
133,449091-7,Экономическая политика,Поддержка предпринимательства,Дальневосточный гектар,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 503-ФЗ «О внесении изменений в Федеральный закон «Об особенностях предоставления гражданам земельных участков, находящихся в государственной или муниципальной собственности и расположенных на территориях субъектов Российской Федерации, входящих в состав Дальневосточного федерального округа, и о внесении изменений в отдельные законодательные акты Российской Федерации» и статью 3 Федерального закона «Об обороте земель сельскохозяйственного назначения»",27.12.2018,247,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Комитет Государственной Думы по региональной политике и проблемам Севера и Дальнего Востока,090.000.000 Хозяйственная деятельность,Экономическая политика,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Совместное ведение,"Закон включает в программу «дальневосточного гектара» иностранных граждан и лиц без гражданства, являющихся участниками Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом.","иностранным гражданам и лицам без гражданства, являющимся участниками Государственной программы – получение земельных участков в безвозмездное пользование, а при получении гражданства – в собственность",стимулировать экономическую активность жителей Дальнего Востока; улучшить демографические показатели в ДФО; содействовать социально-экономическому развитию субъектов ДФО
134,456500-7,Экономическая политика,Поддержка предпринимательства,Страхование с/х рисков,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 563-ФЗ «О внесении изменений в Федеральный закон «О государственной поддержке в сфере сельскохозяйственного страхования и о внесении изменений в Федеральный закон «О развитии сельского хозяйства»,11.12.2018,222,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по аграрным вопросам,Комитет Государственной Думы по финансовому рынку,090.060.000 Сельское хозяйство,Экономическая политика,Комитет Государственной Думы по аграрным вопросам,Совместное ведение,"Законом предполагается государственная поддержка в сфере страхования рисков, связанных с утратой (гибелью) урожая сельскохозяйственных культур, посадок многолетних насаждений и сельскохозяйственных животных.","получать качественные с/х продукты; производителям с/х продукции – гарантировать поддержку в случае возникновения рисков или потерь урожая, посадок или с/х животных",получать объективные данные по вопросам агрострахования
135,371833-7,Экономическая политика,Поддержка предпринимательства,Микрозаймы для МСП,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 537-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации» и статью 12 Федерального закона «О микрофинансовой деятельности и микрофинансовых организациях»,18.12.2018,328,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по финансовому рынку,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,"Законом устанавливается увеличение размера микрозайма для микрофинансовых организаций (МФО) предпринимательского финансирования 3 млн до 5 млн рублей. Также законом уточняется круг заемщиков МФО предпринимательского финансирования, входящих в перечень организаций инфраструктуры поддержки малого и среднего предпринимательства.",нет,создать комфортные условия для развития бизнеса в РФ; бизнесу – расширить финансовые возможности
136,593998-7,Экономическая политика,Поддержка предпринимательства,Прекращение уголовного преследования предпринимателей,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 533-ФЗ «О внесении изменений в статьи 76-1 и 145-1 Уголовного кодекса Российской Федерации и Уголовно-процессуальный кодекс Российской Федерации»,18.12.2018,24,Президент Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"170.000.000 Уголовное право. Исполнение наказаний, 170.010.000 Общая часть, 170.010.030 Освобождение от уголовной ответственности и от наказания",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,"Законом расширяется перечень преступлений небольшой тяжести, уголовные дела по которым подлежат прекращению при условии возмещения ущерба, причиненного в результате совершения преступления. Также законом устанавливается запрет заключения под стражу подозреваемых и обвиняемых в злоупотреблении полномочиями в сфере предпринимательской деятельности (за исключением лиц, подозреваемых или обвиняемых в незаконной организации, проведении азартных игр).","активно заниматься бизнесом без заключения под стражу в ситуации подозрения или обвинения в злоупотреблении; погасившим задолженность по выплате заработной платы, пенсии, стипендии, пособия и иной установленной законом выплате – возможность избежать уголовного преследования","мотивировать население на занятие бизнесом, открытие собственного дела"
137,595028-7,Экономическая политика,Поддержка предпринимательства,Госгарантии для МСП,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 25.12.2018 № 487-ФЗ «О внесении изменения в статью 25-1 Федерального закона «О развитии малого и среднего предпринимательства в Российской Федерации»,19.12.2018,22,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",нет,090.000.000 Хозяйственная деятельность,Экономическая политика,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",нет,Законом предоставляются государственные гарантии объектам МСП по договорам с банками на период 2019–2024 гг.,"бизнесу – получить поддержку со стороны государства, в первую очередь, для высокотехнологичного производства", создать устойчивый механизм оказания кредитно-гарантийной поддержки субъектам МСП в рамках НГС; усовершенствовать инструменты поддержки малого и среднего бизнеса; 
138,554596-7,Экономическая политика,Поддержка предпринимательства,Упрощение правил показа российских и советских фильмов,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 28.11.2018 № 440-ФЗ «О внесении изменений в статьи 5 и 5-1 Федерального закона «О государственной поддержке кинематографии Российской Федерации»,08.11.2018,43,"Депутаты Государственной Думы Е.А.Ямпольская, А.М.Шолохов, О.М.Казакова, О.Л.Лавров, Н.Н.Пилюс, Ю.А.Левицкий, С.Б.Савченко, О.М.Германова, П.О.Толстой, А.А.Носов, Д.В.Юрков",Федеральный закон,Комитет Государственной Думы по культуре,нет,130.030.000 Культура,Социальная политика,Комитет Государственной Думы по культуре,нет,"Закон направлен на развитие российского кинематографа, с учетом особенностей и разнообразия современного кинофестивального движения в РФ. Законом устанавливается, что получение прокатного удостоверения не потребуется в случае показа фильмов исключительно в культурно-просветительских целях и в рамках осуществления уставной деятельности музеями, выставочными залами или образовательными организациями, реализующими основные образовательные программы.",глубже узнать российский кинематограф; кинематографистам – получить доступ к более широкому кругу зрителей,оказать поддержку деятелям культуры; усилить присутствие и конкуренцию российского кино в рамках внутреннего кинематографического рынка
139,364444-7,Экономическая политика,Поддержка предпринимательства,Запрет возврата нереализованной с/х продукции,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 28.11.2018 № 446-ФЗ «О внесении изменений в статью 5 Федерального закона «О развитии сельского хозяйства» и Федеральный закон «Об основах государственного регулирования торговой деятельности в Российской Федерации»,07.11.2018,295,"Депутаты Государственной Думы И.А.Яровая, Э.А.Валеев, А.Н.Пономарев, Н.Д.Боева, Л.А.Огуль, А.П.Езубов, Ю.В.Кобзев, И.В.Станкевич, А.И.Петров, П.И.Пимашков, А.А.Максимов, Т.В.Касаева, Е.А.Митина, А.А.Гетта, С.Н.Коткин, Н.В.Говорин, А.Г.Литовченко, В.И.Кашин, В.М.Шишкоедов, А.В.Ситников, В.В.Белоусов, И.Х.Зиннуров, Д.В.Ламейкин, Ю.Н.Мищеряков, О.В.Савастьянова, И.Е.Марьяш, Д.В.Саблин, Н.В.Малов, Г.И.Данчикова, М.П.Беспалова, С.В.Максимова, В.Б.Кидяев, Ю.Н.Швыткин, Т.И.Фролова, Н.Н.Пилюс, В.Н.Карамышев; Член Совета Федерации С.Ф.Лисовский",Федеральный закон,Комитет Государственной Думы по аграрным вопросам,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству","090.000.000 Хозяйственная деятельность, 090.060.000 Сельское хозяйство",Экономическая политика,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",Совместное ведение,Закон запретил торговым организациям навязывать возврат нереализованной с/х продукции производителям.,"иметь доступ к большему разнообразию продуктов; товаропроизводителям – более точно планировать производство, расширять ассортимент","ввести дополнительные меры защиты отечественных производителей на продовольственном рынке, обеспечить продовольственную безопасность страны"
140,194162-7,Экономическая политика,Поддержка предпринимательства,Страхование вкладов юрлиц,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.08.2018 № 322-ФЗ «О внесении изменений в Федеральный закон «О страховании вкладов физических лиц в банках Российской Федерации» и отдельные законодательные акты Российской Федерации»,24.07.2018,412,"Депутаты Государственной Думы А.Г.Аксаков, Ю.П.Олейников, М.Л.Шаккум, М.В.Гулевский, А.Н.Изотов, О.А.Николаев, С.М.Катасонов, Р.В.Кармазина, А.В.Палкин, Ф.С.Сибагатуллин, Н.Г.Брыкин, А.Н.Ищенко, Е.Б.Шулепов, И.В.Сапко, М.В.Романов, В.Н.Карамышев, В.В.Дзюба, Д.С.Скриванов, Г.К.Сафаралиев, А.Г.Когогина, П.И.Пимашков, М.С.Гаджиев, Д.В.Ламейкин, Д.В.Саблин",Федеральный закон,Комитет Государственной Думы по финансовому рынку,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,"«Агентство по страхованию вкладов» законом наделяется правом страхования банковских вкладов не только физических лиц и ИП, но также микропредприятий и малых предприятий.",бизнесу – сохранять банковские вклады в критических ситуациях,более качественно защищать интересы предпринимателей
141,489370-7,Экономическая политика,Поддержка предпринимательства,Беспошлинная регистрация юрлиц через Интернет,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.07.2018 № 234-ФЗ «О внесении изменения в статью 333.35 части второй Налогового кодекса Российской Федерации»,17.07.2018,29,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по бюджету и налогам,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,"Законом предусмотрено снижение размера государственной пошлины «до нуля» при подаче заявления для государственной регистрации, в том числе юридических лиц и физических лиц в качестве индивидуальных предпринимателей, в форме электронного документа.","больше вовлекаться в предпринимательскую деятельность, сократить издержки на регистрацию; представителям МСП – сократить издержки и упростить процедуры при создании бизнеса",сократить расходы на регистрацию юрлиц за счет использования информационно-телекоммуникационных технологий
142,381792-7,Экономическая политика,Поддержка предпринимательства,Бессрочное право выкупа арендуемого госимущества МСП,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2018 № 185-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации в целях расширения имущественной поддержки субъектов малого и среднего предпринимательства»,21.06.2018,135,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Комитет Государственной Думы по федеративному устройству и вопросам местного самоуправления,030.000.000 Гражданское право,Экономическая политика,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Совместное ведение,Законом введена бессрочность действия преимущественного права на выкуп арендуемого имущества субъектами малого и среднего бизнеса (МСП).,получить выгоды от развития субъектов МСП (стабильная занятость и др.); представителям МСП – получить механизм имущественной поддержки предпринимательской деятельности,"создать условия для вовлечения в полноценный хозяйственный оборот не используемого государственного или муниципального имущества, создаст возможности для вовлечения земельных участков в механизм оказания имущественной поддержки субъектам МСП"
143,344028-7,Экономическая политика,Поддержка предпринимательства,Обязательность применения ККМ при безналичных расчетах,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2018 № 192-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации»,21.06.2018,185,"Депутаты Государственной Думы А.М.Макаров, Г.Я.Хор, Л.Я.Симановский, А.А.Ремезков, В.С.Скруг, Л.И.Ковпак, И.З.Бикбаев, В.В.Бузилов, Н.Н.Гончар, И.М.Гусева, Г.И.Данчикова, Н.С.Максимова, А.А.Носов, А.З.Фаррахов, И.Н.Шубин, Д.В.Юрков, М.П.Беспалова, А.Г.Кобилев, В.В.Иванов, А.Н.Красноштанов, В.Н.Карамышев, И.В.Белых, В.М.Заварзин, А.В.Канаев, Е.А.Серпер, Н.Д.Боева, И.Е.Марьяш, Н.В.Панков, Н.В.Говорин, И.Х.Зиннуров, А.К.Луговой, С.М.Катасонов, С.В.Чижов, М.М.Бариев, В.И.Синяговский; Член Совета Федерации А.В.Коротков",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,"Закон предусматривает обязанность применять кассовую технику и выдавать покупателям кассовые чеки организациями и ИП при безналичных расчетах с физическими лицами. Также закон направлен на оптимизацию нового порядка применения контрольно-кассовой техники и учитывает предложения представителей бизнес-сообществ, связанных с оптимизацией порядка применения контрольно-кассовой техники при осуществлении отдельных видов деятельности.","получать кассовые чеки от организаций и ИП при безналичных расчетах и обеспечивать соблюдение прав потребителей; представителям бизнеса — оптимизировать порядок применения контрольно-кассовой техники при осуществлении отдельных видов деятельности (вендинг, при оказании услуг по перевозке пассажиров с использованием турникетов (метрополитен, автобусы)","обеспечивать лучшую защиту прав потребителей, повысить собираемость налогов"
144,357270-7,Экономическая политика,Поддержка предпринимательства,Мобильность трудовых ресурсов,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2018 № 190-ФЗ «О внесении изменений в Закон Российской Федерации «О занятости населения в Российской Федерации» в части совершенствования механизма повышения мобильности трудовых ресурсов»,19.06.2018,151,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по федеративному устройству и вопросам местного самоуправления, Комитет Государственной Думы по региональной политике и проблемам Севера и Дальнего Востока",070.000.000 Социальное обеспечение и социальное страхование,Социальная политика,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Ведение РФ,"Закон предложил разрабатывать и корректировать программы повышения мобильности трудовых ресурсов субъектов РФ с учетом потребностей работодателей в квалифицированных специалистах, критериев отбора работодателей и дополнительных гарантий для работников.",сделать процесс трудоустройства в регионах более удобным; работодателям – упростить процесс поиска и подбора кадров,повысить гибкость региональных программ в условиях постоянных изменений на рынке труда
145,434243-7,Экономическая политика,Поддержка предпринимательства,Преобразование «Почты России»,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.06.2018 № 171-ФЗ «Об особенностях реорганизации федерального государственного унитарного предприятия «Почта России», основах деятельности акционерного общества «Почта России» и о внесении изменений в отдельные законодательные акты Российской Федерации»",21.06.2018,77,"Депутаты Государственной Думы Н.П.Николаев, А.Г.Аксаков, С.А.Гаврилов, Е.В.Строкова, О.В.Тимофеева, В.В.Сысоев, А.В.Андрейченко, Ю.А.Петров, М.Е.Бугера, Я.Е.Нилов, А.А.Гетта, В.Н.Блоцкий, Л.Л.Левин, Р.В.Кармазина, В.А.Елыкомов, В.И.Афонский, А.В.Маграмов, Г.К.Сафаралиев, Н.В.Говорин, И.В.Сапко, А.И.Воевода, М.И.Щаблыкин, А.В.Чернышев, А.Н.Ищенко; Члены Совета Федерации Д.Ф.Мезенцев, Е.В.Бушмин, А.П.Майоров",Федеральный закон,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям","Комитет Государственной Думы по информационной политике, информационным технологиям и связи, Комитет Государственной Думы по культуре",030.000.000 Гражданское право,Экономическая политика,"Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям",Совместное ведение,Закон предусматривает преобразование ФГУП «Почта России» в акционерное общество для придания структуре гибкости.,получать более качественные и оперативные услуги почтовой связи вследствие повышения эффективности работы Почты России; Почте России — действовать более эффективно благодаря более свободному юридическому статусу,стимулировать развитие конкуренции на рынке услуг почтовой связи
146,377596-7,Экономическая политика,Поддержка предпринимательства,Второй этап «амнистии капиталов»,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 19.02.2018 № 34-ФЗ «О внесении изменений в части первую и вторую Налогового кодекса Российской Федерации и статью 3 Федерального закона «О внесении изменений в части первую и вторую Налогового кодекса Российской Федерации»,09.02.2018,10,"Депутаты Государственной Думы А.М.Макаров, П.В.Крашенинников, А.Г.Аксаков, А.Н.Диденко",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,"Комитет Государственной Думы по государственному строительству и законодательству, Комитет Государственной Думы по финансовому рынку",080.100.000 Налоги и сборы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,"Законы предполагают запуск второго этапа «амнистии капиталов». В частности, продлены предельные сроки ликвидации контролируемых иностранных компаний (КИК) на период до 01 марта 2019 года, в полном объеме сохранены гарантии для декларантов, воспользовавшихся предоставленной возможностью декларирования в ходе первого этапа амнистии (с 01 июля 2015 года по 30 июня 2016 года).","получить налоговые, юридические гарантии для декларантов, ликвидирующих КИК до 01.03.2019","создать условия для перевода имущества КИК, счетов, имущества из‑за рубежа на территорию РФ, повысить темпы роста экономики"
147,377595-7,Экономическая политика,Поддержка предпринимательства,Второй этап «амнистии капиталов»,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 19.02.2018 № 33-ФЗ «О внесении изменений в Федеральный закон «О добровольном декларировании физическими лицами активов и счетов (вкладов) в банках и о внесении изменений в отдельные законодательные акты Российской Федерации»,09.02.2018,10,"Депутаты Государственной Думы А.М.Макаров, П.В.Крашенинников, А.Г.Аксаков, А.Н.Диденко",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,"Комитет Государственной Думы по государственному строительству и законодательству, Комитет Государственной Думы по финансовому рынку",080.100.000 Налоги и сборы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,"Законы предполагают запуск второго этапа «амнистии капиталов». В частности, продлены предельные сроки ликвидации контролируемых иностранных компаний (КИК) на период до 01 марта 2019 года, в полном объеме сохранены гарантии для декларантов, воспользовавшихся предоставленной возможностью декларирования в ходе первого этапа амнистии (с 01 июля 2015 года по 30 июня 2016 года).","получить налоговые, юридические гарантии для декларантов, ликвидирующих КИК до 01.03.2020","создать условия для перевода имущества КИК, счетов, имущества из‑за рубежа на территорию РФ, повысить темпы роста экономики"
148,377597-7,Экономическая политика,Поддержка предпринимательства,Второй этап «амнистии капиталов»,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 19.02.2018 № 35-ФЗ «О внесении изменения в статью 76–1 Уголовного кодекса Российской Федерации»,09.02.2018,10,"Депутаты Государственной Думы А.М.Макаров, П.В.Крашенинников, А.Г.Аксаков, А.Н.Диденко",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по бюджету и налогам,"170.000.000 Уголовное право. Исполнение наказаний, 170.010.000 Общая часть, 170.010.030 Освобождение от уголовной ответственности и от наказания",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,"Законы предполагают запуск второго этапа «амнистии капиталов». В частности, продлены предельные сроки ликвидации контролируемых иностранных компаний (КИК) на период до 01 марта 2019 года, в полном объеме сохранены гарантии для декларантов, воспользовавшихся предоставленной возможностью декларирования в ходе первого этапа амнистии (с 01 июля 2015 года по 30 июня 2016 года).","получить налоговые, юридические гарантии для декларантов, ликвидирующих КИК до 01.03.2021","создать условия для перевода имущества КИК, счетов, имущества из‑за рубежа на территорию РФ, повысить темпы роста экономики"
